,date,close,high,low,open,volume
472,08/06/2018,191.7,192,189.77,191.17,26656799
473,11/06/2018,191.23,191.97,190.21,191.35,18308460
474,12/06/2018,192.28,192.61,191.15,191.39,16911141
475,13/06/2018,190.7,192.88,190.44,192.42,21638393
476,14/06/2018,190.8,191.57,190.22,191.55,21610074
477,15/06/2018,188.84,190.16,188.26,190.03,61719160
478,18/06/2018,188.74,189.22,187.2,187.88,18484865
479,19/06/2018,185.69,186.33,183.45,185.14,33578455
480,20/06/2018,186.5,187.2,185.73,186.35,20628701
481,21/06/2018,185.46,188.35,184.94,187.25,25711898
482,22/06/2018,184.92,186.15,184.7,186.12,27200447
483,25/06/2018,182.17,184.92,180.73,183.4,31663096
484,26/06/2018,184.43,186.53,182.54,182.99,24569201
485,27/06/2018,184.16,187.28,184.03,185.23,25285328
486,28/06/2018,185.5,186.21,183.8,184.1,17365235
487,29/06/2018,185.11,187.19,182.91,186.29,22737666
488,02/07/2018,187.18,187.3,183.42,183.82,17731343
489,03/07/2018,183.92,187.95,183.54,187.79,13954806
490,05/07/2018,185.4,186.41,184.28,185.26,16604248
491,06/07/2018,187.97,188.43,185.2,185.42,17485245
492,09/07/2018,190.58,190.68,189.3,189.5,19756634
493,10/07/2018,190.35,191.28,190.18,190.71,15939149
494,11/07/2018,187.88,189.78,187.61,188.5,18831470
495,12/07/2018,191.03,191.41,189.31,189.53,18041131
496,13/07/2018,191.33,191.84,190.9,191.08,12519792
497,16/07/2018,190.91,192.65,190.42,191.52,15043110
498,17/07/2018,191.45,191.87,189.2,189.75,15534523
499,18/07/2018,190.4,191.8,189.93,191.78,16393381
500,19/07/2018,191.88,192.55,189.69,189.69,20286752
501,20/07/2018,191.44,192.43,190.17,191.78,20706042
502,23/07/2018,191.61,191.96,189.56,190.68,15989365
503,24/07/2018,193,193.66,192.05,192.45,18697898
504,25/07/2018,194.82,194.85,192.43,193.06,16826483
505,26/07/2018,194.21,195.96,193.61,194.61,19075964
506,27/07/2018,190.98,195.19,190.1,194.99,24023972
507,30/07/2018,189.91,192.2,189.07,191.9,21029535
508,31/07/2018,190.29,192.14,189.34,190.3,39373038
509,01/08/2018,201.5,201.76,197.31,199.13,67935716
510,02/08/2018,207.39,208.38,200.35,200.58,62404012
511,03/08/2018,207.99,208.74,205.48,207.03,33447396
512,06/08/2018,209.07,209.25,207.07,208,25425387
513,07/08/2018,207.11,209.5,206.76,209.32,25587387
514,08/08/2018,207.25,207.81,204.52,206.05,22525487
515,09/08/2018,208.88,209.78,207.2,207.28,23492626
516,10/08/2018,207.53,209.1,206.67,207.36,24611202
517,13/08/2018,208.87,210.95,207.7,207.7,25890880
518,14/08/2018,209.75,210.56,208.26,210.16,20748010
519,15/08/2018,210.24,210.74,208.33,209.22,28807564
520,16/08/2018,213.32,213.81,211.47,211.75,28500367
521,17/08/2018,217.58,217.95,213.16,213.44,35426997
522,20/08/2018,215.46,219.18,215.11,218.1,30287695
523,21/08/2018,215.04,217.19,214.03,216.8,26159755
524,22/08/2018,215.05,216.36,213.84,214.1,19018131
525,23/08/2018,215.49,217.05,214.6,214.65,18883224
526,24/08/2018,216.16,216.9,215.11,216.6,18476356
527,27/08/2018,217.94,218.74,216.33,217.15,20525117
528,28/08/2018,219.7,220.54,218.92,219.01,22776766
529,29/08/2018,222.98,223.49,219.41,220.15,27254804
530,30/08/2018,225.03,228.26,222.4,223.25,48793824
531,31/08/2018,227.63,228.87,226,226.51,43340134
532,04/09/2018,228.36,229.18,226.63,228.41,27390132
533,05/09/2018,226.87,229.67,225.1,228.99,33332960
534,06/09/2018,223.1,227.35,221.3,226.23,34289976
535,07/09/2018,221.3,225.37,220.71,221.85,37619810
536,10/09/2018,218.33,221.85,216.47,220.95,39516453
537,11/09/2018,223.85,224.3,216.56,218.01,35749049
538,12/09/2018,221.07,225,219.84,224.94,49278740
539,13/09/2018,226.41,228.35,222.57,223.52,41706377
540,14/09/2018,223.84,226.84,222.52,225.75,31999289
541,17/09/2018,217.88,222.95,217.27,222.15,37195133
542,18/09/2018,218.24,221.85,217.12,217.79,31571712
543,19/09/2018,218.37,219.62,215.3,218.5,27123833
544,20/09/2018,220.03,222.28,219.15,220.24,26608794
545,21/09/2018,217.66,221.36,217.29,220.78,96246748
546,24/09/2018,220.79,221.26,216.63,216.82,27693358
547,25/09/2018,222.19,222.82,219.7,219.75,24554379
548,26/09/2018,220.42,223.75,219.76,221,23984706
549,27/09/2018,224.95,226.44,223.54,223.82,30181227
550,28/09/2018,225.74,225.84,224.02,224.79,22929364
551,01/10/2018,227.26,229.42,226.35,227.95,23600802
552,02/10/2018,229.28,230,226.63,227.25,24788170
553,03/10/2018,232.07,233.47,229.78,230.05,28654799
554,04/10/2018,227.99,232.35,226.73,230.78,32042000
555,05/10/2018,224.29,228.41,220.58,227.96,33580463
556,08/10/2018,223.77,224.8,220.2,222.21,29663923
557,09/10/2018,226.87,227.27,222.25,223.64,26891029
558,10/10/2018,216.36,226.35,216.05,225.46,41990554
559,11/10/2018,214.45,219.5,212.32,214.52,53124392
560,12/10/2018,222.11,222.88,216.84,220.42,40337851
561,15/10/2018,217.36,221.83,217.27,221.16,30791007
562,16/10/2018,222.15,222.99,216.76,218.93,29183963
563,17/10/2018,221.19,222.64,219.34,222.3,22885397
564,18/10/2018,216.02,219.74,213,217.86,32581315
565,19/10/2018,219.31,221.26,217.43,218.06,33078726
566,22/10/2018,220.65,223.36,218.94,219.79,28792082
567,23/10/2018,222.73,223.25,214.7,215.83,38767846
568,24/10/2018,215.09,224.23,214.54,222.6,40925163
569,25/10/2018,219.8,221.38,216.75,217.71,29855768
570,26/10/2018,216.3,220.19,212.67,215.9,47258375
571,29/10/2018,212.24,219.69,206.09,219.19,45935520
572,30/10/2018,213.3,215.18,209.27,211.15,36659990
573,31/10/2018,218.86,220.45,216.62,216.88,38358933
574,01/11/2018,222.22,222.36,216.81,219.05,58323180
575,02/11/2018,207.48,213.65,205.43,209.55,91328654
576,05/11/2018,201.59,204.39,198.17,204.3,66163669
577,06/11/2018,203.77,204.72,201.69,201.92,31882881
578,07/11/2018,209.95,210.06,204.13,205.97,33424434
579,08/11/2018,208.49,210.12,206.75,209.98,25362636
580,09/11/2018,204.47,206.01,202.25,205.55,34365750
581,12/11/2018,194.17,199.85,193.79,199,51135518
582,13/11/2018,192.23,197.18,191.45,191.63,46882936
583,14/11/2018,186.8,194.48,185.93,193.9,60800957
584,15/11/2018,191.41,191.97,186.9,188.39,46478801
585,16/11/2018,193.53,194.97,189.46,190.5,36928253
586,19/11/2018,185.86,190.7,184.99,190,41920872
587,20/11/2018,176.98,181.47,175.51,178.37,67825247
588,21/11/2018,176.78,180.27,176.55,179.73,31124210
589,23/11/2018,172.29,176.595,172.1,174.94,23623972
590,26/11/2018,174.62,174.95,170.26,174.24,44998520
591,27/11/2018,174.24,174.77,170.88,171.51,41387377
592,28/11/2018,180.94,181.29,174.93,176.73,46062539
593,29/11/2018,179.55,182.8,177.7,182.66,41769992
594,30/11/2018,178.58,180.33,177.03,180.29,39531549
595,03/12/2018,184.82,184.94,181.21,184.46,40798002
596,04/12/2018,176.69,182.39,176.27,180.95,41344282
597,06/12/2018,174.72,174.78,170.42,171.76,43098410
598,07/12/2018,168.49,174.49,168.3,173.49,42281631
599,10/12/2018,169.6,170.09,163.33,165,62025994
600,11/12/2018,168.63,171.79,167,171.66,47281665
601,12/12/2018,169.1,171.92,169.02,170.4,35627674
602,13/12/2018,170.95,172.57,169.55,170.49,31897827
603,14/12/2018,165.48,169.08,165.28,169,40703710
604,17/12/2018,163.94,168.35,162.73,165.45,44287922
605,18/12/2018,166.07,167.53,164.39,165.38,33841518
606,19/12/2018,160.89,167.45,159.09,166,49047297
607,20/12/2018,156.83,162.11,155.3,160.4,64772960
608,21/12/2018,150.73,158.16,149.63,156.86,95744384
609,24/12/2018,146.83,151.55,146.59,148.15,37169232
610,26/12/2018,157.17,157.23,146.72,148.3,58582544
611,27/12/2018,156.15,156.77,150.07,155.84,53117065
612,28/12/2018,156.23,158.52,154.55,157.5,42291424
613,31/12/2018,157.74,159.36,156.48,158.53,35003466
614,02/01/2019,157.92,158.85,154.23,154.89,37039737
615,03/01/2019,142.19,145.72,142,143.98,91312195
616,04/01/2019,148.26,148.55,143.8,144.53,58607070
617,07/01/2019,147.93,148.83,145.9,148.7,54777764
618,08/01/2019,150.75,151.82,148.52,149.56,41025314
619,09/01/2019,153.31,154.53,149.63,151.29,45099081
620,10/01/2019,153.8,153.97,150.86,152.5,35780670
621,11/01/2019,152.29,153.7,151.51,152.88,27023241
622,14/01/2019,150,151.27,149.22,150.85,32439186
623,15/01/2019,153.07,153.39,150.05,150.27,28710324
624,16/01/2019,154.94,155.88,153,153.08,30569706
625,17/01/2019,155.86,157.66,153.26,154.2,29821160
626,18/01/2019,156.82,157.88,155.98,157.5,33751023
627,22/01/2019,153.3,156.73,152.62,156.41,30393970
628,23/01/2019,153.92,155.14,151.7,154.15,23130570
629,24/01/2019,152.7,154.48,151.74,154.11,25441549
630,25/01/2019,157.76,158.13,154.32,155.48,33547893
631,28/01/2019,156.3,156.33,153.66,155.79,26192058
632,29/01/2019,154.68,158.13,154.11,156.25,41587239
633,30/01/2019,165.25,166.15,160.23,163.25,61109780
634,31/01/2019,166.44,169,164.56,166.11,40739649
635,01/02/2019,166.52,168.98,165.93,166.96,32668138
636,04/02/2019,171.25,171.66,167.28,167.41,31495582
637,05/02/2019,174.18,175.08,172.35,172.86,36101628
638,06/02/2019,174.24,175.57,172.85,174.65,28239591
639,07/02/2019,170.94,173.94,170.34,172.4,31741690
640,08/02/2019,170.41,170.66,168.42,168.99,23819966
641,11/02/2019,169.43,171.21,169.25,171.05,20993425
642,12/02/2019,170.89,171,169.7,170.1,22283523
643,13/02/2019,170.18,172.48,169.92,171.39,22490233
644,14/02/2019,170.8,171.26,169.38,169.71,21835747
645,15/02/2019,170.42,171.7,169.75,171.25,24626814
646,19/02/2019,170.93,171.44,169.49,169.71,18972826
647,20/02/2019,172.03,173.32,170.99,171.19,26114362
648,21/02/2019,171.06,172.37,170.3,171.8,17249670
649,22/02/2019,172.97,173,171.38,171.58,18913154
650,25/02/2019,174.23,175.87,173.95,174.16,21873358
651,26/02/2019,174.33,175.3,173.17,173.71,17070211
652,27/02/2019,174.87,175,172.73,173.21,27835389
653,28/02/2019,173.15,174.91,172.92,174.32,28215416
654,01/03/2019,174.97,175.15,172.89,174.28,25886167
655,04/03/2019,175.85,177.75,173.97,175.69,27436203
656,05/03/2019,175.53,176,174.54,175.94,19737419
657,06/03/2019,174.52,175.49,173.94,174.67,20810384
658,07/03/2019,172.5,174.44,172.02,173.87,24796374
659,08/03/2019,172.91,173.07,169.5,170.32,23999358
660,11/03/2019,178.9,179.12,175.35,175.49,32011034
661,12/03/2019,180.91,182.67,179.37,180,32467584
662,13/03/2019,181.71,183.3,180.92,182.25,31032524
663,14/03/2019,183.73,184.1,182.56,183.9,23579508
664,15/03/2019,186.12,187.33,183.74,184.85,39042912
665,18/03/2019,188.02,188.39,185.79,185.8,26219832
666,19/03/2019,186.53,188.99,185.92,188.35,31646369
667,20/03/2019,188.16,189.49,184.73,186.23,31035231
668,21/03/2019,195.09,196.33,189.81,190.02,51034237
669,22/03/2019,191.05,197.69,190.78,195.34,42407666
670,25/03/2019,188.74,191.98,186.6,191.51,43845293
671,26/03/2019,186.79,192.88,184.58,191.66,49800538
672,27/03/2019,188.47,189.76,186.55,188.75,29848427
673,28/03/2019,188.72,189.56,187.53,188.95,20780363
674,29/03/2019,189.95,190.08,188.54,189.83,23563961
675,01/04/2019,191.24,191.68,188.38,191.64,27861964
676,02/04/2019,194.02,194.46,191.05,191.09,22765732
677,03/04/2019,195.35,196.5,193.15,193.25,23271830
678,04/04/2019,195.69,196.37,193.14,194.79,19114275
679,05/04/2019,197,197.1,195.93,196.45,18526644
680,08/04/2019,200.1,200.23,196.34,196.42,25881697
681,09/04/2019,199.5,202.85,199.23,200.32,35768237
682,10/04/2019,200.62,200.74,198.18,198.68,21695288
683,11/04/2019,198.95,201,198.44,200.85,20900808
684,12/04/2019,198.87,200.14,196.21,199.2,27760668
685,15/04/2019,199.23,199.85,198.01,198.58,17536646
686,16/04/2019,199.25,201.37,198.56,199.46,25696385
687,17/04/2019,203.13,203.38,198.61,199.54,28906780
688,18/04/2019,203.86,204.15,202.52,203.12,24195766
689,22/04/2019,204.53,204.94,202.34,202.83,19439545
690,23/04/2019,207.48,207.75,203.9,204.43,23322991
691,24/04/2019,207.16,208.48,207.05,207.36,17540609
692,25/04/2019,205.28,207.76,205.12,206.83,18543206
693,26/04/2019,204.3,205,202.12,204.9,18649102
694,29/04/2019,204.61,205.97,203.86,204.4,22204716
695,30/04/2019,200.67,203.4,199.11,203.06,46534923
696,01/05/2019,210.52,215.31,209.23,209.88,64827328
697,02/05/2019,209.15,212.65,208.13,209.84,31996324
698,03/05/2019,211.75,211.84,210.23,210.89,20892378
699,06/05/2019,208.48,208.84,203.5,204.29,32443113
700,07/05/2019,202.86,207.42,200.83,205.88,38763698
701,08/05/2019,202.9,205.34,201.75,201.9,26339504
702,09/05/2019,200.72,201.68,196.66,200.4,34908607
703,10/05/2019,197.18,198.85,192.77,197.42,41208712
704,13/05/2019,185.72,189.48,182.85,187.71,57430623
705,14/05/2019,188.66,189.7,185.41,186.41,36529677
706,15/05/2019,190.92,191.75,186.02,186.27,26544718
707,16/05/2019,190.08,192.47,188.84,189.91,33031364
708,17/05/2019,189,190.9,186.76,186.93,32879090
709,20/05/2019,183.09,184.35,180.28,183.52,38612290
710,21/05/2019,186.6,188,184.7,185.22,28364848
711,22/05/2019,182.78,185.71,182.55,184.66,29748556
